landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
2,3,271,16.39949989,39.62894058,149.0359955,7408,0.386303008,2.832570076,80.97045504,336.9779581,439.6839303,969.217894,-2.558520079,834383.4237,822977.1767,2.558520079
2,3,72,34.72000122,41.40784073,123.1110001,7432,0.896064997,1.62966001,193.2103346,25.71830034,3452.646843,676.0736471,-5.83604002,822103.6249,821164.5386,5.83604002
1,3,72,12.72070026,59.54951096,63.43489838,7257,0.121064,3.09781003,36.4996356,152.4774952,4350.997961,315.8244551,-6.189040184,829092.9989,836606.178,6.189040184
3,3,92,24.56410027,17.41208839,96.34020233,6289,0.826534986,2.392339945,123.0480916,220.2225969,210.7372631,387.9967862,-5.522130013,820056.9849,825811.328,5.522130013
2,1,62,9.068699837,48.63031387,161.5650024,7996,-0.225560993,3.444439888,51.06596079,84.80288232,5001.876436,1106.222432,-6.283969879,854151.8004,824252.1225,6.283969879
1,3,127,15.57439995,12.05204773,84.80560303,7332,-0.0146704,2.540400028,59.00849464,460.4178722,3424.302215,1947.119118,-2.874739885,816545.9659,808853.5176,2.874739885
3,3,79,21.75499916,23.67756271,304.6950073,5324,1.789409995,3.626689911,8.093036559,1651.950218,4440.094143,943.7816285,-3.073159933,830839.9547,808528.1566,3.073159933
2,1,170,23.1840992,40.39815903,45,6487,0.761439979,2.457439899,599.6294776,1050.87962,5965.451741,3279.395457,-6.499450207,851391.5028,822086.6624,6.499450207
3,3,146,26.7833004,6.304777145,36.86989975,7307,3.870229959,5.237530231,49.0300595,34.80559778,47.87685852,518.1367875,-12.09000015,803659.5577,808109.3821,12.09000015
2,1,63,19.6427002,38.40149307,45,7991,0.232630998,2.293100119,37.52489179,259.5066316,252.4398641,1613.381154,-2.18501997,844650.7096,826754.3212,2.18501997
2,3,57,10.11839962,31.93134117,171.8699951,7809,-0.113959998,3.332839966,40.40268387,281.2049505,1677.49354,915.9614336,-4.221439838,824720.9497,835415.9798,4.221439838
2,3,221,28.58270073,42.30212402,76.60749817,8109,2.100759983,3.315340042,24.8965787,21.43643813,19.69040572,2209.020194,-7.194970131,830470.5849,827326.1947,7.194970131
2,1,22,45.58850098,35.86971283,81.46920013,7118,1.629979968,1.588889956,69.97794975,545.7618571,8097.98691,487.4178977,-6.564640045,827913.6323,842306.8733,6.564640045
2,3,61,14.16489983,22.20732117,233.1300049,7313,2.719290018,5.472869873,198.2601421,74.73529251,821.4776417,666.6023135,-6.986629963,802149.1367,808353.0638,6.986629963
2,1,156,21.10880089,56.41614914,191.3099976,7499,1.35078001,3.254390001,98.73276966,136.7693375,619.602308,1078.629152,-3.720269918,834332.5667,822780.7042,3.720269918
2,1,39,28.58069992,60.59838867,103.3919983,7118,0.655492008,1.870239973,105.2642364,523.4745155,6102.132216,1817.139775,-6.855899811,834419.7446,842024.6525,6.855899811
1,2,142,30.1576004,41.95008469,2.489550114,7383,2.106189966,3.192120075,87.76081665,420.9605938,6271.915653,399.0973186,-2.282140017,819668.7831,816626.255,2.282140017
